message_id,topic,device_dt,temp_device,temp_hive,temp,humidity_hive,humidity,pressure,co2,light_intensity,version,ab_bin1,ab_bin2,ab_bin3,ab_bin4,ab_bin5,ab_bin6,ab_bin7,ab_bin8,ab_bin9,ab_bin10,gb_bin1,gb_bin2,gb_bin3,gb_bin4,gb_bin5
000636399EA9D37F5977CA1851750002,v001/c00002/d001,2025-05-29T05:57:18+0000,53.3,34.9,10.6,52.1,84.9,1022.6,14981,0,0003,3,0,6,7,70,23,12,34,62,10,210242,45146,18028,10478,8473
00063639A09340665977C71847BA0002,v001/c00001/d001,2025-05-29T03:17:18+0000,53.3,32.3,11.2,50.0,92.6,1023.1,9508,0,0003,539,132,310,100,163,88,59,79,118,67,671828,100553,32767,19495,18713
00063639C1C00F035977D21869AD0002,v001/c00002/d001,2025-05-29T06:07:05+0000,53.3,34.9,10.5,54.3,85.2,1022.8,15356,0,0003,4,8,6,9,61,14,15,44,69,13,203589,44097,17647,10395,8460
00063639C426ED630A0CC6095EA60002,v001/c00001/d001,2025-05-29T03:27:18+0000,53.3,32.2,11.3,52.2,92.5,1023,11475,0,0003,428,148,371,103,160,125,78,102,77,67,633800,97013,31873,19174,18565
00063639E4E51A825977D71815260002,v001/c00002/d001,2025-05-29T06:17:05+0000,53.3,34.9,10.6,52.2,85.9,1022.7,13426,0,0003,3,1,41,8,46,17,15,65,59,27,222806,47425,18691,10895,8693
00063639E7050C095977D318711C0002,v001/c00002/d001,2025-05-29T06:17:21+0000,53.3,35.1,10.6,50.8,85.9,1022.7,13511,0,0003,6,16,32,6,70,35,17,55,97,39,795116,123337,40231,21504,14027
00063639E7C6CAE25977C818258A0002,v001/c00001/d001,2025-05-29T03:37:18+0000,53.3,32.2,11.4,50.4,92.3,1022.9,11029,0,0003,386,170,312,183,108,114,86,83,79,85,658009,99600,32438,19458,18663
0006363A092DBA4A0A0CCB0978FD0002,v001/c00002/d001,2025-05-29T06:37:05+0000,53.3,34.7,10.8,51.2,86.0,1022.7,12001,0,0003,8,9,26,12,124,34,15,76,103,22,296762,58662,22073,12513,10171
0006363A0B5EBD4E0A0CC70949160002,v001/c00001/d001,2025-05-29T03:47:18+0000,53.3,32.1,11.4,52.3,92.1,1022.9,11287,0,0003,307,208,184,115,128,62,45,40,39,37,631417,96346,31681,19174,18450
0006363A2D4FA7470A0C6D08630B0002,v001/c00002/d001,2025-05-29T06:47:05+0000,53.3,34.6,10.9,53.7,86.2,1022.7,14842,0,0003,4,5,18,15,131,26,33,92,81,28,243653,50558,19660,11421,9282
