message_id,topic,device_dt,temp_device,temp_hive,temp,humidity_hive,humidity,pressure,co2,light_intensity,version,ab_bin1,ab_bin2,ab_bin3,ab_bin4,ab_bin5,ab_bin6,ab_bin7,ab_bin8,ab_bin9,ab_bin10,gb_bin1,gb_bin2,gb_bin3,gb_bin4,gb_bin5
0006346BF09A838859777E171A650002,v001/c00002/d001,2025-05-05T19:01:45+0000,53.3,31.6,14.9,30.3,54.3,1020.5,3267,1851.7,0003,76,52,49,130,618,204,115,194,466,280,655042,118519,38919,18911,13037
0006346BF09B4B8159777E171A650004,v001/c00002/d001,2025-05-05T19:11:45+0000,53.3,31.0,14.5,30.5,50.2,1020.5,3445,1760.8,0003,82,53,69,109,842,206,96,224,430,220,672210,121187,39771,19172,13260
0006346BF09D584959777E171A650006,v001/c00002/d001,2025-05-05T19:21:45+0000,53.3,30.5,14.2,29.7,52.7,1020.5,3169,1678.3,0003,79,59,86,127,798,204,102,203,459,174,737647,130473,41718,20134,13750
0006346BF09EEA5D59777E171A650008,v001/c00002/d001,2025-05-05T19:31:45+0000,53.3,29.9,13.8,30.2,52.0,1020.7,3307,1571.7,0003,78,51,82,155,889,158,78,160,289,160,762421,134036,42612,20551,14103
0006346BF0A07CE559777E171A65000A,v001/c00002/d001,2025-05-05T19:41:45+0000,53.3,29.4,13.6,33.6,53.0,1020.8,3606,1503.3,0003,92,56,61,90,804,166,88,174,302,189,696068,121984,40348,19885,14113
0006346BF0A20F4759777E171A65000C,v001/c00002/d001,2025-05-05T19:51:45+0000,53.3,28.9,13.3,31.9,52.2,1020.8,3030,1411.7,0003,36,33,38,89,525,135,57,131,226,104,755517,130985,42569,20612,14415
0006346BF0A3A1AF59777E171A65000E,v001/c00002/d001,2025-05-05T20:01:45+0000,53.3,28.6,12.9,29.8,52.3,1020.9,2667,1302.5,0003,44,44,53,115,908,166,49,111,306,119,848696,145615,45890,21728,15017
0006346BF0A533BE59777E171A650010,v001/c00002/d001,2025-05-05T20:11:45+0000,53.3,28.0,12.6,32.4,51.7,1021.1,3013,1242.5,0003,61,40,45,116,762,163,77,188,289,175,797014,139411,44520,21328,15126
0006346BF0A6C64B59777E171A650012,v001/c00002/d001,2025-05-05T20:21:45+0000,53.3,27.8,12.2,30.9,51.2,1021.2,2734,1104.2,0003,41,30,51,95,616,147,74,187,359,143,830740,144605,45840,21683,15360
0006346BF0A8591459777E171A650014,v001/c00002/d001,2025-05-05T20:31:45+0000,53.3,27.6,11.7,31.1,51.7,1021.3,2682,996.7,0003,108,109,144,133,842,175,62,124,224,181,840151,146767,46400,21934,15462
0006346BF0A9EAC859777E171A650016,v001/c00002/d001,2025-05-05T20:41:45+0000,53.3,27.3,11.2,30.8,52.3,1021.3,2569,835.8,0003,40,38,78,69,547,92,32,122,175,88,871409,149262,46998,22261,15742
0006346BF0AB7D5F59777E171A650018,v001/c00002/d001,2025-05-05T20:51:45+0000,53.3,27.1,10.8,33.2,53.2,1021.4,3344,727.5,0003,25,27,43,75,551,90,87,153,231,89,812538,140941,45097,21842,15625
0006346BF0AD0F8259777E171A65001A,v001/c00002/d001,2025-05-05T21:01:45+0000,53.3,26.7,10.5,32.7,53.3,1021.4,2967,610,0003,15,19,49,78,752,149,43,147,258,99,852490,144982,46400,22357,15959
0006346BF0AEA20459777E171A65001C,v001/c00002/d001,2025-05-05T21:11:45+0000,53.3,26.4,10.2,30.3,53.0,1021.5,2536,491.7,0003,36,43,70,110,473,102,27,43,74,30,952890,162172,49744,23569,16568
0006346BF0BAE2D259777E171A65001E,v001/c00002/d001,2025-05-05T21:21:45+0000,53.3,26.2,9.9,32.1,53.0,1021.6,3034,361.7,0003,7,10,21,48,459,97,11,40,94,37,919421,156250,48670,23254,16541
0006346BF0BAEB7B59777E171A650020,v001/c00002/d001,2025-05-05T21:31:45+0000,53.3,26.1,9.5,32.8,53.9,1021.8,3151,239.2,0003,12,15,28,42,405,109,42,93,197,64,898384,153518,48248,23125,16502
0006346BF0BAF3DD59777E171A650022,v001/c00002/d001,2025-05-05T21:41:45+0000,53.3,26.0,9.4,34.9,54.8,1021.8,3323,133.3,0003,2,5,17,51,509,93,8,103,227,130,823565,141659,45840,22333,16220
0006346BF0BAFC4459777E171A650024,v001/c00002/d001,2025-05-05T21:51:45+0000,53.3,25.9,9.2,33.6,54.6,1021.8,3300,59.2,0003,59,23,38,64,670,160,41,186,383,73,850860,145615,46452,22697,16360
0006346BF0BB047D59777E171A650026,v001/c00002/d001,2025-05-05T22:01:45+0000,53.3,25.9,8.9,33.9,55.1,1021.9,3391,19.2,0003,20,49,40,48,610,103,42,109,164,43,834896,143981,45941,22333,16360
0006346BF0BB0C8A59777E171A650028,v001/c00002/d001,2025-05-05T22:11:45+0000,53.3,25.9,8.6,37.6,55.7,1022.1,4325,5,0003,12,21,43,88,763,129,72,141,306,113,732783,128761,42656,21220,15984
0006346BF0BB14A859777E171A65002A,v001/c00002/d001,2025-05-05T22:21:45+0000,53.3,25.7,8.4,33.4,55.9,1022.2,3311,0.8,0003,22,25,49,67,536,130,32,49,95,42,856867,145742,46607,22575,16424
0006346BF0BB1CC559777E171A65002C,v001/c00002/d001,2025-05-05T22:31:45+0000,53.3,25.6,8.2,34.2,56.1,1022.4,3585,0,0003,22,32,42,62,570,86,39,106,222,159,847081,144605,46093,22477,16373
0006346BF0BCAFB159777E171A65002E,v001/c00002/d001,2025-05-05T22:41:45+0000,53.3,25.4,8.2,36.5,56.4,1022.5,4172,0,0003,2,1,16,34,379,58,6,33,41,13,777518,133500,43774,21773,16145
0006346BF0BE41FE59777E171A650030,v001/c00002/d001,2025-05-05T22:51:45+0000,53.3,25.2,8.0,34.7,57.1,1022.4,3228,0,0003,15,4,24,49,546,89,27,90,194,82,845471,143857,46659,22550,16515
0006346BF0BFD45659777E171A650032,v001/c00002/d001,2025-05-05T23:01:45+0000,53.3,25.0,7.9,34.9,57.2,1022.5,3080,0,0003,3,2,13,39,370,80,15,63,170,34,845471,142872,45790,22599,16463
0006346BF0C166AF59777E171A650034,v001/c00002/d001,2025-05-05T23:11:45+0000,53.3,24.9,7.7,33.7,57.5,1022.6,3351,0,0003,1,1,14,26,351,51,3,29,79,42,888223,150202,47264,23125,16754
0006346BF0C2F90C59777E171A650036,v001/c00002/d001,2025-05-05T23:21:45+0000,53.3,25.0,7.6,35.9,57.9,1022.7,3650,0,0003,5,7,13,41,378,90,1,21,43,13,831775,140113,45195,22502,16541
0006346BF0C48B5B59777E171A650038,v001/c00002/d001,2025-05-05T23:31:45+0000,53.3,24.8,7.5,35.1,58.5,1022.7,3465,0,0003,8,18,37,63,236,54,28,81,179,88,837515,142021,45689,22550,16621
0006346BF0C61DBA59777E171A65003A,v001/c00002/d001,2025-05-05T23:41:45+0000,53.3,24.9,7.5,36.2,58.4,1022.8,4130,0,0003,2,0,9,34,298,46,0,7,21,14,802283,136447,44473,22026,16450
0006346BF0C7B02459777E171A65003C,v001/c00002/d001,2025-05-05T23:51:45+0000,53.3,24.8,7.3,37.4,59.1,1022.9,3946,0,0003,0,0,5,37,280,37,3,8,29,3,757661,131294,43500,21660,16309
0006346BF0C9427359777E171A65003E,v001/c00002/d001,2025-05-06T00:01:45+0000,53.3,24.6,7.3,40.4,58.9,1022.9,4911,0,0003,0,0,1,22,196,26,7,8,19,2,702669,122612,41183,20964,15935
0006346BF0CAD4E159777E171A650040,v001/c00002/d001,2025-05-06T00:11:45+0000,53.3,24.6,7.2,35.9,59.3,1022.9,3269,0,0003,2,2,8,20,273,42,3,11,25,11,810564,138485,44855,22238,16541
0006346BF0CC671C59777E171A650042,v001/c00002/d001,2025-05-06T00:21:45+0000,53.3,24.6,7.1,37.2,59.5,1023,3918,0,0003,1,2,28,73,453,63,8,41,77,35,780245,134685,43958,22050,16398
0006346BF0CDF97059777E171A650044,v001/c00002/d001,2025-05-06T00:31:45+0000,53.3,24.5,7.0,36.9,59.9,1023.1,4487,0,0003,1,4,16,31,330,73,50,81,144,47,786682,134903,44097,21957,16541
0006346BF0CF8BC559777E171A650046,v001/c00002/d001,2025-05-06T00:41:45+0000,53.3,24.4,6.7,36.3,60.3,1023.1,4177,0,0003,0,0,5,31,292,53,3,14,32,12,788075,135670,44191,22003,16594
0006346BF0D11DEF59777E171A650048,v001/c00002/d001,2025-05-06T00:51:45+0000,53.3,24.3,6.6,41.2,61.3,1023.1,5140,0,0003,9,0,16,39,399,67,9,39,60,19,684633,118435,40309,20673,16058
0006346BF0D2B05459777E171A65004A,v001/c00002/d001,2025-05-06T01:01:45+0000,53.3,24.3,6.5,38.2,61.9,1023.1,4198,0,0003,12,0,5,20,230,49,25,48,103,34,730375,126612,41928,21070,16120
0006346BF0D442D159777E171A65004C,v001/c00002/d001,2025-05-06T01:11:45+0000,53.3,24.3,6.3,35.9,62.2,1023.1,3996,0,0003,26,12,14,57,858,142,9,41,125,55,786682,134036,43820,21751,16347
0006346BF0D5D52259777E171A65004E,v001/c00002/d001,2025-05-06T01:21:45+0000,53.3,24.2,6.3,37.6,62.6,1023.1,4509,0,0003,4,27,34,46,270,29,1,8,54,29,745064,128069,42569,21416,16258
0006346BF0D7678759777E171A650050,v001/c00002/d001,2025-05-06T01:31:45+0000,53.3,24.3,6.2,38.8,62.9,1023.1,4669,0,0003,0,1,3,19,216,41,0,29,22,7,726397,124813,41718,21112,16157
0006346BF0D8F9DB59777E171A650052,v001/c00002/d001,2025-05-06T01:41:45+0000,53.3,24.2,6.0,37.5,63.3,1023.1,4438,0,0003,0,0,3,28,295,31,3,18,33,14,747899,129561,42310,21394,16373
0006346BF0DA8C3859777E171A650054,v001/c00002/d001,2025-05-06T01:51:45+0000,53.3,24.0,6.0,38.4,63.8,1023.1,4325,0,0003,13,0,1,21,169,21,3,18,17,16,747480,128168,42699,21416,16411
0006346CC640956D0A0C1A0A06A20002,v001/c00002/d001,2025-05-06T02:21:32+0000,53.3,24.2,5.9,39.5,64.7,1023.1,4756,0,0003,18,17,24,40,313,58,7,49,72,25,713190,123337,41470,21070,16195
0006346CC64149B50A0C1A0A06A20004,v001/c00002/d001,2025-05-06T02:31:32+0000,53.3,24.1,5.8,39.7,65.5,1023.1,5005,0,0003,0,0,7,25,268,40,3,17,23,12,686748,120574,40583,20591,16008
0006346CC64363370A0C1A0A06A20006,v001/c00002/d001,2025-05-06T02:41:32+0000,53.3,24.0,5.7,39.1,65.6,1023,5161,0,0003,0,0,6,44,337,51,4,25,49,5,701191,122612,41143,20776,16120
0006346CC644F5920A0C1A0A06A20008,v001/c00002/d001,2025-05-06T02:51:32+0000,53.3,24.0,5.6,41.6,66.0,1023,6195,0,0003,3,2,7,22,258,47,3,18,20,7,648670,113752,38846,19999,15766
0006346CC64687F10A0C1A0A06A2000A,v001/c00002/d001,2025-05-06T03:01:32+0000,53.3,24.0,5.6,37.4,66.7,1022.9,4193,0,0003,22,6,10,25,223,44,10,40,37,9,732783,128168,42054,21134,16157
0006346CC6481A3F0A0C1A0A06A2000C,v001/c00002/d001,2025-05-06T03:11:32+0000,53.3,23.9,5.5,40.2,67.1,1023,5150,0,0003,0,0,2,22,181,24,0,2,15,3,667500,117105,39696,20350,15862
0006346CE9E15B91597792171AF60002,v001/c00002/d001,2025-05-06T03:21:32+0000,53.3,24.0,5.5,37.2,67.9,1022.9,4551,0,0003,5,1,5,31,277,52,5,22,17,2,740103,128069,42482,21198,16296
0006346D0D79ECBE0A0C210A4B8E0002,v001/c00002/d001,2025-05-06T03:31:32+0000,53.3,24.1,5.5,39.5,68.5,1022.9,4555,0,0003,0,0,1,28,144,19,0,10,38,12,689589,119111,40115,20571,16021
0006346D220E46B20A0C200A17560002,v001/c00001/d001,2025-05-05T19:01:26+0000,53.3,35.0,15.4,38.5,40.4,1021.2,4235,1390.8,0003,324,258,245,322,147,162,124,152,111,91,1523216,229159,64011,30377,26262
0006346D220ED6F20A0C200A17560004,v001/c00001/d001,2025-05-05T19:11:26+0000,53.3,35.0,14.8,34.4,40.3,1021.3,3336,2435,0003,301,233,300,244,212,74,77,75,46,45,1716656,256347,69574,32019,27320
0006346D2210F96E0A0C200A17560006,v001/c00001/d001,2025-05-05T19:21:26+0000,53.3,35.0,14.9,38.3,41.1,1021.4,5390,3700,0003,349,326,272,265,238,220,129,149,104,92,1504474,226025,63193,29902,26035
0006346D22128BA80A0C200A17560008,v001/c00001/d001,2025-05-05T19:31:26+0000,53.3,35.0,14.7,36.2,40.0,1021.5,3321,10740,0003,388,299,195,364,172,126,96,129,70,93,1522354,231891,64453,30290,26003
0006346D22141DF70A0C200A1756000A,v001/c00001/d001,2025-05-05T19:41:26+0000,53.3,35.0,14.3,48.1,40.9,1021.7,5265,2783.3,0003,435,486,324,242,235,101,105,137,116,74,1144680,180585,53774,26901,24418
0006346D2215B07C0A0C200A1756000C,v001/c00001/d001,2025-05-05T19:51:26+0000,53.3,34.9,13.6,35.2,41.9,1021.7,4200,2450,0003,326,293,319,453,207,214,196,154,101,103,1440042,220742,61982,28777,25073
