message_id,topic,device_dt,temp_device,temp_hive,temp,humidity_hive,humidity,pressure,co2,light_intensity,version,ab_bin1,ab_bin2,ab_bin3,ab_bin4,ab_bin5,ab_bin6,ab_bin7,ab_bin8,ab_bin9,ab_bin10,gb_bin1,gb_bin2,gb_bin3,gb_bin4,gb_bin5
000633DEFD09B5DF5977610C70E60002,v001/c00002/d001,2025-04-28T19:03:14+0000,53.3,32.2,19.9,41.4,62.0,1028.1,3441,1870.8,0003,73,57,28,76,358,67,50,64,76,90,340139,67488,26464,15017,11638
000633DEFD0A6C735977610C70E60004,v001/c00002/d001,2025-04-28T19:13:14+0000,53.3,32.0,19.4,43.5,64.0,1028,3891,1556.7,0003,108,69,120,65,253,62,69,166,133,422,320848,64915,25730,14762,11548
000633DEFD0C7DC75977610C70E60006,v001/c00002/d001,2025-04-28T19:23:14+0000,53.3,31.8,18.7,43.6,61.1,1028,3889,1298.3,0003,43,29,13,54,442,38,7,24,53,44,326922,65373,25922,14825,11561
000633DEFD0E10135977610C70E60008,v001/c00002/d001,2025-04-28T19:33:14+0000,53.3,31.5,18.1,42.1,61.9,1028,3136,988.3,0003,11,8,6,44,315,31,10,15,60,45,350307,69166,26994,15337,11865
000633DEFD0F9E855977610C70E6000A,v001/c00002/d001,2025-04-28T19:43:14+0000,53.3,31.2,17.4,42.9,64.7,1028,3580,867.5,0003,2,8,0,30,273,12,7,26,35,49,341200,67983,26924,15203,11831
000633DEFD1131175977610C70E6000C,v001/c00002/d001,2025-04-28T19:53:14+0000,53.3,31.0,16.8,42.2,65.1,1028,3676,618.3,0003,41,33,25,62,357,24,35,45,48,44,356783,70273,27437,15543,11981
000633DEFD1753465977610C70E6000E,v001/c00002/d001,2025-04-28T20:03:14+0000,53.3,30.7,16.2,42.4,65.4,1028.1,3690,538.3,0003,4,0,2,28,331,13,4,15,25,23,362298,71355,27711,15636,12099
000633DEFD175A805977610C70E60010,v001/c00002/d001,2025-04-28T20:13:14+0000,53.3,30.4,15.7,40.6,65.4,1028.2,3302,382.5,0003,21,20,15,45,403,41,31,47,52,44,389732,75487,28940,16095,12453
000633DEFD1761EF5977610C70E60012,v001/c00002/d001,2025-04-28T20:23:14+0000,53.3,30.2,15.1,41.8,66.5,1028.2,3648,246.7,0003,0,3,1,22,235,10,2,11,31,89,382358,74343,28505,15947,12408
000633DEFD1768D25977610C70E60014,v001/c00002/d001,2025-04-28T20:33:14+0000,53.3,30.0,14.4,44.6,67.8,1028.3,3979,124.2,0003,22,11,12,32,255,20,18,21,37,50,349934,69628,27099,15439,12335
