message_id,topic,device_dt,temp_device,temp_hive,temp,humidity_hive,humidity,pressure,co2,light_intensity,version,ab_bin1,ab_bin2,ab_bin3,ab_bin4,ab_bin5,ab_bin6,ab_bin7,ab_bin8,ab_bin9,ab_bin10,gb_bin1,gb_bin2,gb_bin3,gb_bin4,gb_bin5
0006413E1CB3FD6BDE4E0E6FFB250002,v001/c00003/d001,2025-10-15T18:21:30+0000,53.3,20.7,11.8,71.1,100.0,1029.3,2065,0,0013,401,209,124,274,191,150,138,145,107,114,322381,64162,24384,14429,10635
0006413E1CB4D9E0DE4E0E6FFB250004,v001/c00003/d001,2025-10-15T18:51:30+0000,53.3,20.7,11.7,69.9,100.0,1029.3,2447,0,0013,214,148,77,143,99,69,63,38,57,42,333817,66400,24935,14692,10756
0006413E1CB73D7ADE4E0E6FFB250006,v001/c00003/d001,2025-10-15T19:21:30+0000,53.3,20.7,11.6,70.4,100.0,1029.3,2804,0,0013,445,286,178,215,324,156,78,98,93,91,334495,65826,24920,14682,10745
0006413E1CB8D3E0DE4E0E6FFB250008,v001/c00003/d001,2025-10-15T19:51:30+0000,53.3,20.7,11.4,70.8,100.0,1029.3,3008,0,0013,482,250,214,222,133,126,105,109,130,111,328163,65313,24715,14651,10701
0006413E1CBA6A2CDE4E0E6FFB25000A,v001/c00003/d001,2025-10-15T20:21:30+0000,53.3,20.7,11.2,72.0,99.8,1029.5,2842,0,0013,594,219,134,135,99,110,112,122,64,74,319565,63577,24271,14390,10614
0006413E1CBBFCA2DE4E0E6FFB25000C,v001/c00003/d001,2025-10-15T20:51:30+0000,53.3,20.8,10.8,71.7,100.0,1029.5,3499,0,0013,707,168,86,90,72,49,51,39,56,49,318330,63820,24215,14429,10592
0006413E1CBD8EADDE4E0E6FFB25000E,v001/c00003/d001,2025-10-15T21:21:30+0000,53.3,20.8,10.7,71.3,100.0,1029.5,1820,0,0013,331,311,105,155,111,117,76,112,87,83,323648,64807,24555,14560,10635
0006413E1CBF213CDE4E0E6FFB250010,v001/c00003/d001,2025-10-15T21:51:30+0000,53.3,20.8,10.6,70.7,100.0,1029.2,3190,0,0013,391,197,118,131,113,152,130,109,119,85,329147,65569,24744,14641,10603
0006413E1CC0B3D0DE4E0E6FFB250012,v001/c00003/d001,2025-10-15T22:21:30+0000,53.3,20.8,9.7,69.6,100.0,1029.2,2499,0,0013,372,200,172,193,173,142,81,77,84,107,341785,67308,25190,14807,10734
0006413E1CC24645DE4E0E6FFB250014,v001/c00003/d001,2025-10-15T22:51:30+0000,53.3,20.7,9.0,69.3,100.0,1029.2,4330,0,0013,307,143,96,125,74,110,95,75,71,47,341431,68018,25388,14891,10701
0006413E1CC3DC40DE4E0E6FFB250016,v001/c00003/d001,2025-10-15T23:21:30+0000,53.3,20.7,8.7,70.0,100.0,1029.2,2804,0,0013,225,133,92,88,83,89,74,79,82,71,347190,67908,25450,14912,10767
0006413E1CC56E4CDE4E0E6FFB250018,v001/c00003/d001,2025-10-15T23:51:30+0000,53.3,20.7,8.4,70.0,100.0,1029.1,3487,0,0013,318,358,222,145,108,111,90,80,77,67,343210,68184,25465,14944,10811
0006413E1CC704D5DE4E0E6FFB25001A,v001/c00003/d001,2025-10-16T00:21:30+0000,53.3,20.7,8.9,68.4,100.0,1028.9,2286,0,0013,152,147,83,130,91,101,85,64,53,39,369800,71564,26280,15406,10970
0006413E1CC8970CDE4E0E6FFB25001C,v001/c00003/d001,2025-10-16T00:51:30+0000,53.3,20.6,9.3,68.5,100.0,1028.7,2773,0,0013,245,181,129,155,68,63,51,51,32,41,374425,71932,26512,15440,11063
0006413E1CCA2D54DE4E0E6FFB25001E,v001/c00003/d001,2025-10-16T01:21:30+0000,53.3,20.6,9.8,68.4,100.0,1028.4,3506,0,0013,218,143,138,165,108,135,86,78,84,78,374425,72305,26630,15497,11110
0006413E1CCBC372DE4E0E6FFB250020,v001/c00003/d001,2025-10-16T01:51:30+0000,53.3,20.5,10.0,69.5,100.0,1028.2,3145,0,0013,173,88,82,146,61,84,75,58,84,50,369800,71199,26346,15395,11122
0006413E1CCD55F0DE4E0E6FFB250022,v001/c00003/d001,2025-10-16T02:21:30+0000,53.3,20.5,10.1,69.4,100.0,1028,2440,0,0013,398,184,219,128,67,76,50,41,69,46,370216,71381,26462,15440,11134
0006413E1CCEE88CDE4E0E6FFB250024,v001/c00003/d001,2025-10-16T02:51:30+0000,53.3,20.5,10.4,70.4,100.0,1028,3462,0,0013,367,302,183,195,144,202,192,160,136,141,358528,69601,26035,15227,11052
0006413E1CD07E4CDE4E0E6FFB250026,v001/c00003/d001,2025-10-16T03:21:30+0000,53.3,20.4,10.5,69.0,100.0,1027.9,2781,0,0013,216,149,93,137,68,70,88,69,56,38,376135,72745,26887,15590,11134
0006413E4F1B14E0DE4E0E7AD2480002,v001/c00002/d001,2025-10-16T03:34:45+0000,53.3,24.5,10.3,57.3,100.0,1026.9,9826,0,0013,23,1,13,7,35,10,14,5,5,0,67817,16986,7251,4763,3602
0006413E52996125DE4E0E77FFCA0002,v001/c00004/d001,2025-10-15T18:03:39+0000,53.3,27.2,12.8,62.7,92.7,1027.8,8113,0,0013,107,168,136,120,125,94,57,66,77,93,179140,40218,15907,9271,6069
0006413E529A15AADE4E0E77FFCA0004,v001/c00004/d001,2025-10-15T18:33:39+0000,53.3,27.4,12.7,63.0,92.8,1027.8,8554,0,0013,189,138,340,133,341,234,146,108,107,99,173611,39578,15578,9142,6034
0006413E529C7793DE4E0E77FFCA0006,v001/c00004/d001,2025-10-15T19:03:39+0000,53.3,27.8,12.6,62.9,92.9,1027.9,8969,0,0013,136,163,117,134,140,124,79,93,107,122,172193,39137,15487,9087,5989
0006413E529E0E1CDE4E0E77FFCA0008,v001/c00004/d001,2025-10-15T19:33:39+0000,53.3,27.7,12.2,64.3,92.5,1027.9,10167,0,0013,189,154,146,183,166,109,58,61,115,94,164634,37738,15110,8910,5902
0006413E529FA3FADE4E0E77FFCA000A,v001/c00004/d001,2025-10-15T20:03:39+0000,53.3,27.5,12.1,63.8,91.3,1027.9,6191,0,0013,95,154,94,139,179,108,53,92,97,82,170972,38778,15510,9071,6020
0006413E52A1366DDE4E0E77FFCA000C,v001/c00004/d001,2025-10-15T20:33:39+0000,53.3,27.5,11.9,63.0,91.6,1028.1,8901,0,0013,115,105,123,85,112,76,84,89,109,96,171843,39029,15498,9095,5989
0006413E52A2C8BADE4E0E77FFCA000E,v001/c00004/d001,2025-10-15T21:03:39+0000,53.3,27.3,11.8,61.3,92.0,1028.1,6415,0,0013,127,146,176,163,244,137,146,134,136,110,183224,40959,16126,9337,6118
0006413E52A45EF3DE4E0E77FFCA0010,v001/c00004/d001,2025-10-15T21:33:39+0000,53.3,27.4,11.5,61.5,92.3,1027.9,7366,0,0013,85,117,92,122,79,85,65,74,84,67,183623,41280,16102,9395,6143
0006413E52A5F185DE4E0E77FFCA0012,v001/c00004/d001,2025-10-15T22:03:39+0000,53.3,27.4,11.0,62.3,92.3,1027.8,8626,0,0013,156,176,135,131,112,90,69,93,105,83,179330,40180,15859,9230,6076
0006413E52A783C2DE4E0E77FFCA0014,v001/c00004/d001,2025-10-15T22:33:39+0000,53.3,27.5,10.4,63.2,92.1,1027.7,7992,0,0013,67,118,79,96,109,68,55,75,73,64,175781,39726,15694,9198,6006
